Species,Divison.or.Deep.Rank,Class.or.Higher.Level,Order,Family,Genus,X18S,rbcL,atpA,atpB,psaA,psaB,X,X.1,X.2,lichen.clade,TaxToUse
Floydiella_terrestris,Chlorophyta,Chlorophyceae,Chaetopeltidales,Chaetopeltidaceae,Floydiella,D86498,NC_014346,NC_014346,NC_014346,NC_014346,NC_014346,,,,0,Chlorophyceae
Schizomeris_leibleinii,Chlorophyta,Chlorophyceae,Chaetophorales,Schizomeridaceae,Schizomeris,AF182820,NC_015645,NC_015645,NC_015645,NC_015645,NC_015645,,,,0,Chlorophyceae
Stigeoclonium_helveticum,Chlorophyta,Chlorophyceae,Chaetophorales,,Stigeoclonium,U83131,NC_008372,NC_008372,NC_008372,NC_008372,NC_008372,,,,0,Chlorophyceae
Chlamydomonas_reinhardtii,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,AB701553,NC_005353,NC_005353,NC_005353,NC_005353,NC_005353,,,,0,Chlorophyceae
Dunaliella_salina,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,JF903801,NC_016732,NC_016732,NC_016732,NC_016732,NC_016732,,,,0,Chlorophyceae
Pleodorina_starrii,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,Pleodorina,LC086359,NC_021109,NC_021109,NC_021109,NC_021109,NC_021109,,,,0,Chlorophyceae
Gonium_pectorale,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,Gonium,FR865741,NC_020438,NC_020438,NC_020438,NC_020438,NC_020438,,,,0,Chlorophyceae
Volvox_carteri,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,Volvox,X53904,GU084820,GU084820,GU084820,GU084820,GU084820,,,,0,Chlorophyceae
Oedogonium_cardiacum,Chlorophyta,Chlorophyceae,Oedogoniales,,Oedogonium,U83133,NC_011031,NC_011031,NC_011031,NC_011031,NC_011031,,,,0,Chlorophyceae
Pediastrum_duplex,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pediastrum,AY779859,EF078313,NA,AB084306,JN630530,JN630551,UTEX 1364,Chlorophyceae,,0,Chlorophyceae
Neochloris_aquatica,Chlorophyta,Chlorophyceae,Sphaeropleales,Neochloridaceae,Neochloris,M62861,NC_029670,NC_029670,NC_029670,NC_029670,NC_029670,UTEX 138,Chlorophyceae,Unclear if 18s from same isolate,0,Chlorophyceae
