edited_name,lichen
Abrothallus_buellianus,0
Abrothallus_cladoniae,0
Acanthotrema_sp_EK-2013a,1
Acarospora_schleicheri,1
Acarosporina_microspora,0
Acremonium_alternatum,0
Acrocordia_subglobosa,1
Acrospermum_compressum,0
Acrospermum_gramineum,0
Agyrium_rufum,0
Aigialus_grandis,0
Alectoria_ochroleuca,1
Aliquandostipite_khaoyaiensis,0
Alyxoria_ochrocheila,1
Ambrosiella_xylebori,0
Amniculicola_immersa,0
Amniculicola_parva,0
Amphisphaeria_umbrina,0
Andreiomyces_morozianus,1
Aniptodera_chesapeakensis,0
Anisomeridium_ubianum,1
Anteaglonium_globosum,0
Anteaglonium_parvulum,0
Anthracothecium_nanum,1
Aphanopsis_coenosa,1
Archaeorhizomyces_finlayi,0
Arctomia_delicatula,1
Arthonia_dispersa,1
Arthopyrenia_salicis,0
Arthrobotrys_elegans,0
Ascobolus_crenulatus,0
Aspergillus_nidulans,0
Aspicilia_caesiocinerea,1
Asterina_fuchsiae,0
Asterina_phenacis,0
Astrothelium_versicolor,1
Bacidia_schweinitzii,1
Baeomyces_sp_FJ-2013,1
Bimuria_novae-zelandiae,0
Bisporella_citrina,0
Botryosphaeria_dothidea,0
Botrytis_cinerea,0
Brigantiaea_cf_leucoxantha_Gaya_71,1
Bryoria_trichodes,1
Buellia_frigida,1
Bulgaria_inquinans,0
Byssochlamys_nivea,0
Byssosphaeria_schiedermayeriana,0
Caliciopsis_orientalis,0
Caliciopsis_pinea,0
Calicium_viride,1
Calosphaeria_pulchella,0
Camarops_ustulinoides,0
Candelaria_concolor,1
Candelariella_aurella,1
Capnodium_coffeae,0
Capronia_pilosella,0
Catabotrys_deciduum,0
Catinella_olivacea,0
Celothelium_cinchonarum,1
Cenococcum_geophilum,0
Chaenotheca_furfuracea,1
Chaetothyriomycetidae_sp_TRN242,0
Cheilymenia_stercorea,0
Chlorociboria_aeruginosa,0
Chrysothrix_caesia,1
Chrysothrix_chrysophthalma,1
Cladonia_caroliniana,1
Cladosporium_cladosporioides,0
Claviradulomyces_dabeicola,0
Clonostachys_rosea,0
Coccomyces_strobi,0
Coccomycetella_richardsonii,0
Coccotrema_cucurbitula,1
Combea_mollusca,1
Coniochaeta_ostrea,0
Coniosporium_apollinis,0
Coniosporium_uncinatum,0
Coniothyrium_palmarum,0
Connersia_rilstonii,0
Cornicularia_normoerica,1
Corollospora_maritima,0
Cucurbitaria_berberidis,0
Cudoniella_clavus,0
Cyphelium_tigillare,1
Cystocoleus_ebeneus,1
Cyttaria_darwinii,0
Dactylina_arctica,1
Delitschia_winteri,0
Dendrographa_decolorans,1
Dendrographa_leucophaea_f_minor,1
Dermatocarpon_miniatum,1
Dermea_acerina,0
Diaporthe_eres,0
Dibaeis_baeomyces,1
Diploschistes_actinostomus,1
Diploschistes_cinereocaesius,1
Dolabra_nepheliae,0
Dothidea_insculpta,0
Dothideales_sp_1_NF-2011,0
Dothideomycetes_sp_AN13,0
Dothiora_cannabinae,0
Dyfrolomyces_rhizophorae,0
Dyfrolomyces_tiomanensis,0
