"TreeNo","NoRates","RootState","NoGains","NoLosses","MaxAgeStartLich","MaxAgeEndLich","GainNodeBegin_1","GainNodeBegin_2","GainNodeBegin_3","GainNodeBegin_4","GainNodeBegin_5","GainNodeBegin_6","GainNodeBegin_7","GainNodeBegin_8","GainNodeBegin_9","GainNodeBegin_10","GainNodeBegin_11","GainNodeBegin_12","GainNodeBegin_13","GainNodeBegin_14","GainNodeBegin_15","GainNodeBegin_16","GainNodeBegin_17","GainNodeBegin_18","GainNodeBegin_19","GainNodeBegin_20","GainNodeBegin_21","GainNodeBegin_22","GainNodeBegin_23","GainNodeBegin_24","GainNodeBegin_25","GainNodeEnd_1","GainNodeEnd_2","GainNodeEnd_3","GainNodeEnd_4","GainNodeEnd_5","GainNodeEnd_6","GainNodeEnd_7","GainNodeEnd_8","GainNodeEnd_9","GainNodeEnd_10","GainNodeEnd_11","GainNodeEnd_12","GainNodeEnd_13","GainNodeEnd_14","GainNodeEnd_15","GainNodeEnd_16","GainNodeEnd_17","GainNodeEnd_18","GainNodeEnd_19","GainNodeEnd_20","GainNodeEnd_21","GainNodeEnd_22","GainNodeEnd_23","GainNodeEnd_24","GainNodeEnd_25","GainBegin_1","GainBegin_2","GainBegin_3","GainBegin_4","GainBegin_5","GainBegin_6","GainBegin_7","GainBegin_8","GainBegin_9","GainBegin_10","GainBegin_11","GainBegin_12","GainBegin_13","GainBegin_14","GainBegin_15","GainBegin_16","GainBegin_17","GainBegin_18","GainBegin_19","GainBegin_20","GainBegin_21","GainBegin_22","GainBegin_23","GainBegin_24","GainBegin_25","GainEnd_1","GainEnd_2","GainEnd_3","GainEnd_4","GainEnd_5","GainEnd_6","GainEnd_7","GainEnd_8","GainEnd_9","GainEnd_10","GainEnd_11","GainEnd_12","GainEnd_13","GainEnd_14","GainEnd_15","GainEnd_16","GainEnd_17","GainEnd_18","GainEnd_19","GainEnd_20","GainEnd_21","GainEnd_22","GainEnd_23","GainEnd_24","GainEnd_25","LossNodeBegin_1","LossNodeBegin_2","LossNodeBegin_3","LossNodeBegin_4","LossNodeBegin_5","LossNodeBegin_6","LossNodeBegin_7","LossNodeBegin_8","LossNodeBegin_9","LossNodeBegin_10","LossNodeBegin_11","LossNodeBegin_12","LossNodeBegin_13","LossNodeBegin_14","LossNodeBegin_15","LossNodeBegin_16","LossNodeBegin_17","LossNodeBegin_18","LossNodeBegin_19","LossNodeBegin_20","LossNodeBegin_21","LossNodeBegin_22","LossNodeBegin_23","LossNodeBegin_24","LossNodeBegin_25","LossNodeEnd_1","LossNodeEnd_2","LossNodeEnd_3","LossNodeEnd_4","LossNodeEnd_5","LossNodeEnd_6","LossNodeEnd_7","LossNodeEnd_8","LossNodeEnd_9","LossNodeEnd_10","LossNodeEnd_11","LossNodeEnd_12","LossNodeEnd_13","LossNodeEnd_14","LossNodeEnd_15","LossNodeEnd_16","LossNodeEnd_17","LossNodeEnd_18","LossNodeEnd_19","LossNodeEnd_20","LossNodeEnd_21","LossNodeEnd_22","LossNodeEnd_23","LossNodeEnd_24","LossNodeEnd_25","LossBegin_1","LossBegin_2","LossBegin_3","LossBegin_4","LossBegin_5","LossBegin_6","LossBegin_7","LossBegin_8","LossBegin_9","LossBegin_10","LossBegin_11","LossBegin_12","LossBegin_13","LossBegin_14","LossBegin_15","LossBegin_16","LossBegin_17","LossBegin_18","LossBegin_19","LossBegin_20","LossBegin_21","LossBegin_22","LossBegin_23","LossBegin_24","LossBegin_25","LossEnd_1","LossEnd_2","LossEnd_3","LossEnd_4","LossEnd_5","LossEnd_6","LossEnd_7","LossEnd_8","LossEnd_9","LossEnd_10","LossEnd_11","LossEnd_12","LossEnd_13","LossEnd_14","LossEnd_15","LossEnd_16","LossEnd_17","LossEnd_18","LossEnd_19","LossEnd_20","LossEnd_21","LossEnd_22","LossEnd_23","LossEnd_24","LossEnd_25","LossNodeBegin_26","LossNodeEnd_26","LossBegin_26","LossEnd_26","LossNodeBegin_27","LossNodeEnd_27","LossBegin_27","LossEnd_27","LossNodeBegin_28","LossNodeEnd_28","LossBegin_28","LossEnd_28","LossNodeBegin_29","LossNodeEnd_29","LossBegin_29","LossEnd_29","LossNodeBegin_30","LossNodeEnd_30","LossBegin_30","LossEnd_30","LossNodeBegin_31","LossNodeEnd_31","LossBegin_31","LossEnd_31","LossNodeBegin_32","LossNodeEnd_32","LossBegin_32","LossEnd_32","LossNodeBegin_33","LossNodeEnd_33","LossBegin_33","LossEnd_33","LossNodeBegin_34","LossNodeEnd_34","LossBegin_34","LossEnd_34","LossNodeBegin_35","LossNodeEnd_35","LossBegin_35","LossEnd_35","LossNodeBegin_36","LossNodeEnd_36","LossBegin_36","LossEnd_36","LossNodeBegin_37","LossNodeEnd_37","LossBegin_37","LossEnd_37","LossNodeBegin_38","LossNodeEnd_38","LossBegin_38","LossEnd_38"
1,"2Rate","Non",15,6,289.827495,248.62,376,309,453,457,459,455,450,488,487,489,507,559,569,577,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,378,145,146,461,462,470,176,177,492,508,560,261,266,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.574521,289.827495,238.56824,54.1840300000001,127.4,181.31,270.725046,52.222745,94.479999,169.155185,164.737064,222.745818,101.887998,49.9198960000001,265.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,248.62,0,0,79.05,116.88,215.63,0,0,105.471673,98.069998,139.28,0,0,213.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,391,401,410,465,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,80,93,100,156,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.38162,160.683196,145.560609,104.994976,99.978899,212.430738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2Rate","Non",14,7,319.48741,253.832996,364,316,382,404,411,413,397,312,502,505,519,524,483,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,74,383,405,103,415,416,481,192,194,520,525,577,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.643639,278.811555,291.130831,181.310001,62.989853,127.400001,278.165672,319.48741,135.079874,75.288112,206.170682,179.288593,254.432679,260.380249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,249.168901,116.880001,0,79.050001,245.43875,253.832996,0,0,146.45,88.896887,139.28,213.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,427,433,435,447,522,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,116,124,137,138,212,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.196946,90.760614,185.497963,161.861295,138.525767,94.48,208.890307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2Rate","Non",14,9,304.38835,277.891161,320,409,418,487,495,498,506,507,523,535,559,562,597,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,410,419,183,496,499,198,200,524,536,251,254,291,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.38835,301.924693,278.191866,195.871218,213.159999,189.229999,94.479999,77.8004119999999,211.216141,79.2202599999999,65.768581,59.968804,255.21295,256.084957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.891161,215.629999,183.184393,0,146.389588,147.389999,0,0,139.279998,55.3450779999999,0,0,0,108.350373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,331,332,333,323,348,352,362,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,23,24,334,336,37,50,51,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.34926,68.593757,135.716979,127.399998,226.419998,166.296817,158.621179,121.142787,128.057034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,48.363273,159.739998,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2Rate","Non",3,22,359.99,321.13,310,410,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,411,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.99,90.0214800000001,183.603773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.13,64.4946730000001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,315,315,382,392,396,395,415,436,442,444,437,435,497,504,508,509,511,536,539,541,554,NA,NA,NA,312,8,316,383,83,87,398,416,128,443,137,446,448,498,197,202,510,207,224,232,233,247,NA,NA,NA,321.13,298.516332,298.516332,184.630461,201.648478,209.933967,238.721124,255.234477,205.344911,64.6327680000001,94.4800000000001,187.013559,240.794845,226.42,99.570564,71.5202000000001,127.4,117.229389,97.1091510000001,183.546869,162.98288,107.508083,NA,NA,NA,27.9,0,257.61,80,0,0,181.9148,239.329788,0,11.7386900000001,0,78.1293770000001,232.21259,159.74,0,0,38.0938650000001,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2Rate","Non",7,19,359.99,321.614654,309,491,489,501,498,516,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,492,494,186,194,206,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.99,183.7966,226.603861,70.458344,96.894965,170.648969,137.133438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.614654,94.48,202.055204,0,0,0,98.070001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,331,332,322,357,355,353,399,340,412,415,414,487,492,494,584,595,595,318,NA,NA,NA,NA,NA,NA,327,21,23,336,43,58,59,90,105,413,416,417,488,182,495,277,596,291,599,NA,NA,NA,NA,NA,NA,127.4,43.582295,108.993088,226.42,162.936024,169.496269,184.457841,154.409973,295.773623,284.258664,254.404189,280.659483,265.01,94.48,202.055204,208.651738,189.070239,189.070239,321.614654,NA,NA,NA,NA,NA,NA,99.587279,0,0,159.74,0,0,0,0,0,27.9,80.0000000000001,257.61,239.45,0,169.489943,0,42.769941,0,55.588069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2Rate","Non",17,6,297.268055,248.62,378,391,462,465,472,475,483,489,496,511,514,510,535,580,582,586,588,NA,NA,NA,NA,NA,NA,NA,NA,379,392,463,159,473,167,176,185,497,512,515,520,229,581,583,280,589,NA,NA,NA,NA,NA,NA,NA,NA,293.325978,268.623959,248.916465,297.268055,226.760058,150.217295,134.273108,102.199362,208.087924,213.16,189.23,230.059527,117.517409,145.060779,166.574133,57.344128,127.4,NA,NA,NA,NA,NA,NA,NA,NA,226.770549,248.62,120.639979,0,139.28,0,0,0,94.501261,124.865685,147.39,94.48,0,46.92,61.64,0,79.05,NA,NA,NA,NA,NA,NA,NA,NA,386,437,438,443,460,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,127,128,143,149,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.359513,184.964481,169.497995,158.307401,80.155419,58.235742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.000001,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2Rate","Non",1,38,321.13,305.49,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,330,330,334,337,337,344,356,360,370,340,409,414,414,416,416,428,432,436,440,442,444,444,434,426,16,331,21,25,338,339,32,43,48,58,98,410,104,415,417,418,429,433,437,441,443,133,134,445,480,73.5580200000001,101.988602,101.988602,61.277253,159.74,159.74,182.241478,162.811157,171.247956,104.598301,283.275776,227.24274,249.43404,249.43404,258.737029,258.737029,192.405941,162.602354,231.689103,150.120909,126.774689,214.090412,214.090412,253.279242,267.148066,0,37.2983360000001,0,0,18.1881060000001,61.688385,0,0,0,0,0,80.0000000000001,0,210.569682,41.5659830000001,232.598343,120.898309,91.330504,76.4816440000001,84.122324,41.458585,0,0,217.541275,197.728202,482,173,201.783662,0,484,485,215.152869,118.279615,487,177,71.6756370000001,0,488,489,222.162919,99.942391,491,183,221.088829,0,491,184,221.088829,0,494,495,151.948623,129.65706,499,190,116.900001,0,503,192,88.0151260000001,0,503,504,88.0151260000001,69.4020610000001,506,507,87.974026,72.684352,515,207,189.230001,0,407,523,301.695535,257.61
8,"1Rate","Non",6,15,305.49,296.63,308,465,483,490,494,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,152,484,178,182,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305.49,118.505944,225.151924,121.254621,135.091928,52.1516109999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.63,0,139.28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,385,391,396,397,402,413,420,406,514,514,566,567,569,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,386,82,86,399,94,107,109,422,205,206,256,258,259,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.2,226.42,97.933679,44.8971060000001,127.4,246.545112,189.23,94.480001,265.01,250.33139,250.33139,127.7454,178.906928,155.951542,136.780099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,159.74,0,0,86.788797,0,0,0,256.357421,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2Rate","Non",16,5,294.428307,248.619999,320,331,385,395,397,405,409,421,427,319,503,506,513,515,502,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,20,76,396,398,406,410,422,428,431,196,507,204,516,522,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.278101,118.802143,187.978677,220.251064,94.479999,180.923469,88.6518690000001,213.159999,198.641849,294.428307,275.223538,181.309999,59.6612170000001,127.399999,276.000642,281.408525,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.671714,0,0,123.131771,73.889999,139.279998,61.4662300000001,147.389999,117.477455,248.619999,0,116.879999,0,79.0499990000001,215.629999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,457,463,462,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,149,164,165,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.647147,181.850081,159.262116,159.654586,93.6710800000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2Rate","Non",5,23,431.000001,359.990001,304,498,495,508,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,185,501,509,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.000001,114.18022,138.230858,212.17944,175.737596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.990001,0,112.649623,139.280002,146.450002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,320,341,346,350,361,400,469,476,479,467,466,486,501,486,560,563,564,569,584,583,315,314,NA,NA,306,11,29,36,39,51,401,471,166,170,480,483,487,191,506,248,253,565,570,277,593,594,595,NA,NA,359.990001,241.125462,118.692019,190.048536,160.547536,113.652613,299.676974,127.400002,96.687173,71.910241,226.420002,255.200002,239.450002,112.649623,239.450002,94.480002,135.197906,122.015695,77.233297,213.160002,247.118171,321.130001,344.927042,NA,NA,317.446883,0,0,0,0,0,257.610001,101.110276,0,0,159.740002,80.0000020000001,224.874195,0,223.614721,0,0,93.842912,9.85011199999997,0,74.0614220000001,27.900001,84.702584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
