"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-77.9551977868274,159.910395573655,159.950529352919,1,0.00119127785783679,0.000265005083347134,1,2,NA,NA,NA,-71.7226306988543,159.445261397709,159.9367289745,2,0.00452815452331619,0.00614077937731638,2.06115362243856e-09,0.00196439654869914,4.01821705392606e-05,2.06115362243856e-09,2.06115362243856e-09,0.00387298830934677,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-76.2773416312634,156.554683262527,156.594817041791,1,0.00125994087518495,0.000267489609041214,1,2,NA,NA,NA,-69.8744594380977,155.748918876195,156.240386452987,2,0.000545643239829715,0.0106746753879527,2.06115362243856e-09,0.00852866779550146,2.06115362243856e-09,0.0073067137474577,2.06115362243856e-09,0.0043151638219418,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-76.9109740462161,157.821948092432,157.862081871696,1,0.00132532001220411,0.000264551193187704,1,2,NA,NA,NA,-70.049792874215,156.09958574843,156.591053325222,2,0.0049780961910489,0.00829564282840348,2.06115362243856e-09,0.00225291427625364,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00469478705781991,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-77.6358711152342,159.271742230468,159.311876009733,1,0.0011845941480318,0.000266234639785352,1,2,NA,NA,NA,-70.030921358961,156.061842717922,156.553310294714,2,0.000523342876222063,0.0112409092236899,2.06115362243856e-09,0.0114655327048171,2.06115362243856e-09,0.0136130193834836,2.06115362243856e-09,0.00745925848088552,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-76.5833323854008,157.166664770802,157.206798550066,1,0.00126730287141752,0.000280243019149449,1,2,NA,NA,NA,-69.6028251925884,155.205650385177,155.697117961969,2,0.00489852570403246,0.00813254168040996,2.06115362243856e-09,0.0022047867376762,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00415297254019273,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-78.1439151296988,160.287830259398,160.327964038662,1,0.00122653745417842,0.000260628520905176,1,2,NA,NA,NA,-70.4800133517578,156.960026703516,157.451494280307,2,2.06115362243856e-09,0.00714901638237057,2.06115362243856e-09,0.00533591117477223,2.06115362243856e-09,0.00174595208130848,2.06115362243856e-09,0.00472423284647318,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-75.9328941728396,155.865788345679,155.905922124943,1,0.00105597309515826,0.000257524934637404,1,2,NA,NA,NA,-69.3990669758994,154.798133951799,155.289601528591,2,0.000500332741257837,0.00967752129993005,2.06115362243856e-09,0.00848117368198211,2.06115362243856e-09,0.00711696598222322,2.06115362243856e-09,0.00432177300216789,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-78.3404229138635,160.680845827727,160.720979606991,1,0.00123959541948121,0.000259718892099813,1,2,NA,NA,NA,-70.9484262174113,157.896852434823,158.388320011614,2,0.00523510669221253,0.00691131042953555,2.06115362243856e-09,0.00189882776134344,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00385691732359509,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-74.4266241976001,152.8532483952,152.893382174464,1,0.00116347421046951,0.000256964902245845,1,2,NA,NA,NA,-69.4080062266758,154.816012453352,155.307480030143,2,0.0325416788124987,0.00732195317098381,2.06115362243856e-09,0.00139069526539999,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00277951369314857,1,2,3,4,5,6,7,8,NA,NA,NA,"1Rate"
"10",4199,-78.5214539970112,161.042907994022,161.083041773287,1,0.00119721912089228,0.000270887737482176,1,2,NA,NA,NA,-70.1038088087374,156.207617617475,156.699085194267,2,0.0044810614742863,0.00788910031331428,2.06115362243856e-09,0.0020305959050365,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00446327381787133,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"11",4384,-76.3082679676635,156.616535935327,156.656669714591,1,0.00124937593052954,0.000285810854629326,1,2,NA,NA,NA,-68.6841968792328,153.368393758466,153.859861335257,2,0.0383444375497535,0.00644201485434518,2.0611815560926e-09,0.000784690154179005,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00445494316716195,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"12",5042,-75.9865560579756,155.973112115951,156.013245895215,1,0.00102321751216655,0.000243061940636584,1,2,NA,NA,NA,-69.4963212521088,154.992642504218,155.484110081009,2,2.06115362243856e-09,0.00880949968162844,2.06115362243856e-09,0.00446855841081692,2.06115362243856e-09,0.00292991665263971,2.06115362243856e-09,0.00357855164445631,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"13",5097,-77.3772754179434,158.754550835887,158.794684615151,1,0.00132381880789535,0.000281217431346888,1,2,NA,NA,NA,-70.1092537842099,156.21850756842,156.709975145212,2,0.0043063844796016,0.00762162053291748,2.06115362243856e-09,0.00228647235815441,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00460504280770994,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"14",5143,-76.8230753418576,157.646150683715,157.686284462979,1,0.00145579508792275,0.000306479023034996,1,2,NA,NA,NA,-70.0457580111149,156.09151602223,156.582983599022,2,0.0385569097122362,0.00591208186641589,2.06115362243856e-09,0.000906078823305366,0.000136442462483532,2.06115362243856e-09,2.06115362243856e-09,0.00475227143814415,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"15",5220,-74.1551170489741,152.310234097948,152.350367877212,1,0.00125601643758951,0.000250096919796583,1,2,NA,NA,NA,-69.0507856119646,154.101571223929,154.593038800721,2,0.000447375095415282,0.00819486659120344,2.06115362243856e-09,0.00762751027735609,2.06115362243856e-09,0.00563962576160109,0.000802379383379558,0.00307827055895033,1,2,3,4,5,6,7,8,NA,NA,NA,"1Rate"
"16",5434,-77.3752101559093,158.750420311819,158.790554091083,1,0.00107253953383757,0.000259335693129676,1,2,NA,NA,NA,-70.2722888129883,156.544577625977,157.036045202768,2,2.06115362243856e-09,0.00775646953846115,2.06115362243856e-09,0.00635128351326452,2.06115362243856e-09,0.00313755135441563,2.06115362243856e-09,0.00449768307812147,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"17",5488,-77.0822192599203,158.164438519841,158.204572299105,1,0.0012507368800862,0.000282492494056701,1,2,NA,NA,NA,-68.911894995899,153.823789991798,154.31525756859,2,0.0364516266398158,0.00558866255470666,2.06115362243856e-09,0.000742094080497488,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00456846740556554,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"18",5568,-77.1786457288929,158.357291457786,158.39742523705,1,0.00121086063238045,0.000259635401239143,1,2,NA,NA,NA,-70.827004179576,157.654008359152,158.145475935944,2,2.06115362243856e-09,0.00842125854690771,2.06115362243856e-09,0.00576721812422268,2.06115362243856e-09,0.00382505557643749,2.06115362243856e-09,0.00303714217479906,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"19",6492,-75.1040228222183,154.208045644437,154.248179423701,1,0.00116862813268612,0.000267030709557221,1,2,NA,NA,NA,-68.747469545123,153.494939090246,153.986406667038,2,0.000506544091857603,0.00927634045255949,2.06115362243856e-09,0.00859173992175302,2.06115362243856e-09,0.00667418908256304,2.06115362243856e-09,0.00380999867963502,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"20",7158,-76.8759908361739,157.751981672348,157.792115451612,1,0.00121792549977811,0.000266589996953395,1,2,NA,NA,NA,-69.9636399293052,155.92727985861,156.418747435402,2,0.0043029743566385,0.00717201623156893,2.06115362243856e-09,0.00216135657951925,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00398880726155629,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"21",7434,-77.6404456264591,159.280891252918,159.321025032182,1,0.00116316240058268,0.000274851368957719,1,2,NA,NA,NA,-69.5178857011089,155.035771402218,155.52723897901,2,2.06115362243856e-09,0.00719529183183217,2.06115362243856e-09,0.00811607469631779,1.25980418612859e-05,0.00290355422686144,2.06115362243856e-09,0.00489560765163087,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"22",7438,-76.6345281858717,157.269056371743,157.309190151008,1,0.00111184640895413,0.00024825763682895,1,2,NA,NA,NA,-70.2128180403977,156.425636080795,156.917103657587,2,0.00433005735772546,0.00683482031015495,2.06115362243856e-09,0.00191440326939074,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00346240869378371,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"23",7830,-75.8634660431971,155.726932086394,155.767065865658,1,0.00125347124476976,0.000286856628271034,1,2,NA,NA,NA,-69.6839657505281,155.367931501056,155.859399077848,2,0.00473974483886201,0.00836732700959173,2.06115362243856e-09,0.0023477583363998,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.0041109021815595,1,2,3,4,5,6,7,8,NA,NA,NA,"1Rate"
"24",7928,-75.9804639241869,155.960927848374,156.001061627638,1,0.00134865229540375,0.000262059146657756,1,2,NA,NA,NA,-69.6606170440433,155.321234088087,155.812701664878,2,0.045594372691932,0.00624003135024622,2.06115362243856e-09,0.000808212905167044,4.30531800121335e-05,2.06115362243856e-09,2.06115362243856e-09,0.00455700779615843,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
