"TreeNo","NoRates","RootState","NoGains","NoLosses","MaxAgeStartLich","MaxAgeEndLich","GainNodeBegin_1","GainNodeBegin_2","GainNodeBegin_3","GainNodeBegin_4","GainNodeBegin_5","GainNodeBegin_6","GainNodeBegin_7","GainNodeBegin_8","GainNodeBegin_9","GainNodeBegin_10","GainNodeBegin_11","GainNodeBegin_12","GainNodeBegin_13","GainNodeBegin_14","GainNodeBegin_15","GainNodeBegin_16","GainNodeBegin_17","GainNodeBegin_18","GainNodeBegin_19","GainNodeBegin_20","GainNodeBegin_21","GainNodeBegin_22","GainNodeBegin_23","GainNodeBegin_24","GainNodeBegin_25","GainNodeEnd_1","GainNodeEnd_2","GainNodeEnd_3","GainNodeEnd_4","GainNodeEnd_5","GainNodeEnd_6","GainNodeEnd_7","GainNodeEnd_8","GainNodeEnd_9","GainNodeEnd_10","GainNodeEnd_11","GainNodeEnd_12","GainNodeEnd_13","GainNodeEnd_14","GainNodeEnd_15","GainNodeEnd_16","GainNodeEnd_17","GainNodeEnd_18","GainNodeEnd_19","GainNodeEnd_20","GainNodeEnd_21","GainNodeEnd_22","GainNodeEnd_23","GainNodeEnd_24","GainNodeEnd_25","GainBegin_1","GainBegin_2","GainBegin_3","GainBegin_4","GainBegin_5","GainBegin_6","GainBegin_7","GainBegin_8","GainBegin_9","GainBegin_10","GainBegin_11","GainBegin_12","GainBegin_13","GainBegin_14","GainBegin_15","GainBegin_16","GainBegin_17","GainBegin_18","GainBegin_19","GainBegin_20","GainBegin_21","GainBegin_22","GainBegin_23","GainBegin_24","GainBegin_25","GainEnd_1","GainEnd_2","GainEnd_3","GainEnd_4","GainEnd_5","GainEnd_6","GainEnd_7","GainEnd_8","GainEnd_9","GainEnd_10","GainEnd_11","GainEnd_12","GainEnd_13","GainEnd_14","GainEnd_15","GainEnd_16","GainEnd_17","GainEnd_18","GainEnd_19","GainEnd_20","GainEnd_21","GainEnd_22","GainEnd_23","GainEnd_24","GainEnd_25","LossNodeBegin_1","LossNodeBegin_2","LossNodeBegin_3","LossNodeBegin_4","LossNodeBegin_5","LossNodeBegin_6","LossNodeBegin_7","LossNodeBegin_8","LossNodeBegin_9","LossNodeBegin_10","LossNodeBegin_11","LossNodeBegin_12","LossNodeBegin_13","LossNodeBegin_14","LossNodeBegin_15","LossNodeBegin_16","LossNodeBegin_17","LossNodeBegin_18","LossNodeBegin_19","LossNodeBegin_20","LossNodeBegin_21","LossNodeBegin_22","LossNodeBegin_23","LossNodeBegin_24","LossNodeBegin_25","LossNodeEnd_1","LossNodeEnd_2","LossNodeEnd_3","LossNodeEnd_4","LossNodeEnd_5","LossNodeEnd_6","LossNodeEnd_7","LossNodeEnd_8","LossNodeEnd_9","LossNodeEnd_10","LossNodeEnd_11","LossNodeEnd_12","LossNodeEnd_13","LossNodeEnd_14","LossNodeEnd_15","LossNodeEnd_16","LossNodeEnd_17","LossNodeEnd_18","LossNodeEnd_19","LossNodeEnd_20","LossNodeEnd_21","LossNodeEnd_22","LossNodeEnd_23","LossNodeEnd_24","LossNodeEnd_25","LossBegin_1","LossBegin_2","LossBegin_3","LossBegin_4","LossBegin_5","LossBegin_6","LossBegin_7","LossBegin_8","LossBegin_9","LossBegin_10","LossBegin_11","LossBegin_12","LossBegin_13","LossBegin_14","LossBegin_15","LossBegin_16","LossBegin_17","LossBegin_18","LossBegin_19","LossBegin_20","LossBegin_21","LossBegin_22","LossBegin_23","LossBegin_24","LossBegin_25","LossEnd_1","LossEnd_2","LossEnd_3","LossEnd_4","LossEnd_5","LossEnd_6","LossEnd_7","LossEnd_8","LossEnd_9","LossEnd_10","LossEnd_11","LossEnd_12","LossEnd_13","LossEnd_14","LossEnd_15","LossEnd_16","LossEnd_17","LossEnd_18","LossEnd_19","LossEnd_20","LossEnd_21","LossEnd_22","LossEnd_23","LossEnd_24","LossEnd_25"
66,"2Rate","Non",19,4,296.72,253.905123,318,392,394,397,399,405,406,406,476,505,506,553,556,559,573,568,578,581,383,NA,NA,NA,NA,NA,NA,12,81,396,398,400,97,407,475,477,193,194,554,557,560,263,268,579,582,587,NA,NA,NA,NA,NA,NA,286.0611,68.4227770000001,132.31,136.23,102.707546,276.010563,271.67,271.67,284.004028,92.7199990000001,65.9632460000001,114.9,205.882281,242.123281,98.6274100000001,154.358651,221.5,214.18,296.72,NA,NA,NA,NA,NA,NA,0,0,83.3200000000001,43.68,51.91,0,253.905123,107.47,239.046178,0,0,107,120.930916,127.17,0,0,164.635719,151.59,247.03,NA,NA,NA,NA,NA,NA,451,463,460,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,164,165,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.565899,169.486877,176.080645,188.029458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"2Rate","Non",19,5,256.88,231.81,318,392,394,397,399,405,405,476,505,506,554,554,556,559,573,568,578,578,383,NA,NA,NA,NA,NA,NA,12,81,396,398,400,97,406,477,193,194,245,246,557,560,263,268,579,581,587,NA,NA,NA,NA,NA,NA,250.265998,68.642473,119.73,144.69,110.534113,244.53715,244.53715,234.345898,96.43,68.859684,85.78,85.78,172.713404,198.129278,59.00256,87.205956,179.45,179.45,256.88,NA,NA,NA,NA,NA,NA,0,0,87.55,67.6,55.98,0,231.81,170.132045,0,0,0,0,103.789262,139.73,0,0,119.408898,169.34,207.19,NA,NA,NA,NA,NA,NA,451,463,460,459,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,164,165,166,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.417683,148.706413,154.495467,168.352565,169.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,"2Rate","Non",18,4,312.33,284.04,318,392,394,397,399,405,405,476,505,506,553,556,559,573,568,578,581,383,NA,NA,NA,NA,NA,NA,NA,12,81,396,398,400,97,406,477,193,194,554,557,560,263,268,579,582,587,NA,NA,NA,NA,NA,NA,NA,300.056619,71.241616,149.86,146.81,104.826044,296.1145,296.1145,300.876676,52.659999,37.48289,87.16,226.200038,269.458744,79.8163029999999,119.755471,249.75,220.9,312.33,NA,NA,NA,NA,NA,NA,NA,0,0,91.81,41.98,46.97,0,284.04,236.415891,0,0,57.67,133.552781,200.570001,0,0,97.4853709999999,199.91,249.8,NA,NA,NA,NA,NA,NA,NA,451,463,460,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,164,165,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.752269,174.62175,184.199902,197.890864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,"2Rate","Non",16,6,284.7,250.53,318,392,394,390,405,405,476,505,506,553,556,559,573,568,558,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,81,396,397,97,406,477,193,194,554,557,560,263,268,578,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.236972,59.326692,115.55,175.67,261.03515,261.03515,271.845407,106.54,77.177973,86.12,199.860608,226.959228,50.1770750000001,78.210652,245.609936,284.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,71.72,111.46,0,250.53,223.591755,0,0,76.44,117.668284,149.48,0,0,184.6,237.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,451,463,460,459,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,141,164,165,166,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.642103,147.212066,185.273588,192.673302,202.860918,178.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,"2Rate","Non",18,4,290.82,250.97,318,392,394,397,399,405,405,476,505,506,553,556,559,573,568,578,581,383,NA,NA,NA,NA,NA,NA,NA,12,81,396,398,400,97,406,477,193,194,554,557,560,263,268,579,582,587,NA,NA,NA,NA,NA,NA,NA,279.542669,59.735876,134.94,151.8,132.244165,272.261762,272.261762,276.252558,131.189999,94.915506,115.71,203.6805,227.971552,50.007468,78.653188,211.25,200.94,290.82,NA,NA,NA,NA,NA,NA,NA,0,0,80.44,38.79,99.67,0,250.97,228.408592,0,0,94.34,120.0618,136.27,0,0,141.156862,156.86,212.8,NA,NA,NA,NA,NA,NA,NA,451,463,460,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,164,165,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.92775,154.775874,163.337605,180.624787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,"2Rate","Non",19,5,278.94,227.71,318,392,394,397,399,405,406,406,477,477,505,506,553,556,559,573,568,558,383,NA,NA,NA,NA,NA,NA,12,81,396,398,400,97,407,475,170,171,193,194,554,557,560,263,268,578,587,NA,NA,NA,NA,NA,NA,267.472642,47.6127609999999,100.38,128.83,108.85965,262.00156,251.23,251.23,238.113298,238.113298,81.5599999999999,57.6324739999999,119.96,208.208789,227.589441,71.8577489999999,112.995635,245.837806,278.94,NA,NA,NA,NA,NA,NA,0,0,82.23,38.2,75.92,0,212.661162,75.45,0,0,0,0,86.8,123.399325,136.759999,0,0,182.279999,227.71,NA,NA,NA,NA,NA,NA,451,463,460,459,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,164,165,166,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.652619,175.915879,180.170035,185.648699,155.289999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,"2Rate","Non",16,6,318.04,267.97,318,392,394,390,405,405,476,505,506,553,556,559,573,568,558,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,81,396,397,97,406,477,193,194,554,557,560,263,268,578,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.689732,71.378967,147.99,193.15,276.401446,276.401446,302.417934,105.86,74.516869,111.719999,223.613755,234.482015,58.559365,92.332261,266.157476,318.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,98.36,120.01,0,267.97,228.124634,0,0,84.259999,133.592632,118.34,0,0,196.09,234.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,451,463,460,459,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,141,164,165,166,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.159957,151.672275,192.576575,197.066939,209.883895,167.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
722,"2Rate","Non",16,6,338.78,267.35,318,392,394,390,405,405,476,505,506,553,556,559,573,568,558,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,81,396,397,97,406,477,193,194,554,557,560,263,268,578,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.061262,86.171303,153.03,236.66,315.27035,315.27035,314.407587,87.330001,60.74506,87.410001,228.43204,251.124734,76.097427,111.567013,277.273637,338.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,87.33,139.85,0,245.66,232.7164,0,0,75.210001,135.250898,143.929999,0,0,214.969999,267.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,451,463,460,459,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,141,164,165,166,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.596379,128.902768,169.594024,175.982752,185.924349,199.749999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"2Rate","Non",18,5,318.66,268.75,318,392,394,390,405,405,477,477,505,506,553,556,559,573,568,578,581,383,NA,NA,NA,NA,NA,NA,NA,12,81,396,397,97,406,170,171,193,194,554,557,560,263,268,579,582,587,NA,NA,NA,NA,NA,NA,NA,289.383953,60.5432970000001,115.13,181.84,278.759722,278.759722,235.862084,235.862084,109.41,78.045134,84.14,213.159868,243.002079,57.1737199999999,90.045444,231.15,191.43,318.66,NA,NA,NA,NA,NA,NA,NA,0,0,81.2400000000001,124.31,0,268.75,0,0,0,0,68.46,125.995608,164.49,0,0,177.330871,139.93,263.74,NA,NA,NA,NA,NA,NA,NA,399,451,463,460,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,141,164,165,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.75521,135.845893,154.970159,162.092658,177.139592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
787,"2Rate","Non",19,4,303.2,269.58,318,392,394,397,399,405,405,477,477,505,506,553,556,559,573,568,578,581,383,NA,NA,NA,NA,NA,NA,12,81,396,398,400,97,406,170,171,193,194,554,557,560,263,268,579,582,587,NA,NA,NA,NA,NA,NA,272.803314,69.386663,107.92,134.98,104.245531,272.470628,272.470628,248.34907,248.34907,93.579999,66.282599,95.38,219.583865,248.153594,57.705442,90.883792,222.14,198.86,303.2,NA,NA,NA,NA,NA,NA,0,0,85.46,47.53,57.22,0,262.85,0,0,0,0,55.77,129.936334,179.52,0,0,143.430614,146.01,269.58,NA,NA,NA,NA,NA,NA,451,463,460,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,164,165,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.276877,182.333147,188.959738,197.660147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
