Class,Order,Family,Genus,Species,"Number, etc.",nuSSU,nuLSU,RPB1,RPB2,mtSSU,TEF1a,edited_name
Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,dispersa,UPSC 2583,AY571379,AY571381,,,AY571383,,Arthonia_dispersa
Arthoniomycetes,Arthoniales,Chrysothrichaceae,Chrysothrix,caesia,Amtoft s.n. (DUKE) (AFTOL-ID 775),,FJ469668,FJ772241,FJ469670,FJ469671,FJ469669,Chrysothrix_caesia
Arthoniomycetes,Arthoniales,Chrysothrichaceae,Chrysothrix,chrysophthalma,Ertz 10927 (BR),,HQ454519,,HQ454661,KF176966,,Chrysothrix_chrysophthalma
Arthoniomycetes,Arthoniales,Lecanographaceae,Alyxoria,ochrocheila,Ertz 8624 (BR),,EU704099,,EU704035,EU704071,,Alyxoria_ochrocheila
Arthoniomycetes,Arthoniales,Opegraphaceae,Combea,mollusca,Tehler 7725,AY571380,AY571382,,DQ987626,AY571384,,Combea_mollusca
Arthoniomycetes,Arthoniales,Roccellaceae,Dendrographa,decolorans,Ertz 5003 (BR/DUKE) (AFTOL-ID 307); F66100 (S),AY548809,AY548815,,DQ883715,AY548816,DQ883725,Dendrographa_decolorans
Arthoniomycetes,Arthoniales,Roccellographaceae,Roccellographa,cretacea,Mies 1981 Bc. (Printzen) (AFTOL-ID 93); Mies 239b2 (S),DQ883705,DQ883696,DQ883716,DQ883713,FJ772240,DQ883733,Roccellographa_cretacea
Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomycetaceae,sp TRN529,,GU324016,GU323987,,,GU324050,,Phaeococcomycetaceae_sp_TRN529
Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomycetaceae,sp TNR456,TRN 456,GU324015,GU323986,GU324065,,GU324049,,Phaeococcomycetaceae_sp_TRN456
Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,furfuracea,,JX000068,JX000087,JX000137,,JX000121,,Chaenotheca_furfuracea
Coniocybomycetes,Coniocybales,Coniocybaceae,Sclerophora,farinacea,,JX000078,JX000095,JX000144,,JX000130,,Sclerophora_farinacea
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,dothidea,CBS 115476 (AFTOL-ID 946),DQ677998,DQ678051,GU357802,DQ677944,FJ190612,DQ767637,Botryosphaeria_dothidea
Dothideomycetes,Capnodiales,Davidiellaceae,Cladosporium,cladosporioides,CBS 170.54,DQ678004,,GU357790,DQ677952,FJ190628,DQ677898,Cladosporium_cladosporioides
Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,endophylla,CBS 113265 (AFTOL-ID 942),DQ471017,DQ470968,DQ471165,DQ470920,FJ190611,DQ471092,Ramularia_endophylla
Dothideomycetes,Dothideales,Dothideaceae,Dothidea,insculpta,CBS 189.58 (AFTOL-ID 359/921),DQ247810,DQ247802,DQ471154,AF107800,FJ190602,DQ471081,Dothidea_insculpta
Dothideomycetes,Incertae sedis,Incertae sedis,Tyrannosorus,pinicola,CBS 124.88 (AFTOL-ID 1235),DQ471025,DQ470974,DQ471171,,FJ190620,DQ471098,Tyrannosorus_pinicola
Dothideomycetes,Incertae sedis,Incertae Sedis,Coniosporium,apollonis,CBS 109860,GU250920,GU250899,GU250962,GU250953,GU250910,,Coniosporium_apollinis
Dothideomycetes,Monoblastiales,Monoblastiaceae,Anisomeridium,ubianum MPN94,,JN887379,GU327709,,,GU327682,JN887421,Anisomeridium_ubianum
Dothideomycetes,Monoblastiales,Monoblastiaceae,Trypetheliopsis,kalbii MPN243,,JN887391 ,JN887406 ,,,GU327703,JN887435 ,Trypetheliopsis_kalbii
Dothideomycetes,Monoblastiales,Monoblastiaceae,Acrocordia,subglobosa HTL940,,JN887373 ,JN887392 ,,YYY??4dec2010,GU327681,JN887417 ,Acrocordia_subglobosa
Dothideomycetes,Myriangiales,Myriangiaceae,Myriangium,duriaei,CBS 260.36 (AFTOL-ID 1304),AY016347,DQ678059,DQ870956,DQ677954,AY571389,DQ677900,Myriangium_duriaei
Dothideomycetes,Patellariales,Patellariaceae,Hysteropatella,clavispora,CBS 247.34 (AFTOL-ID 1254),DQ678006,AY541493,,DQ677955,AY571388,DQ677901,Hysteropatella_clavispora
Dothideomycetes,Pleosporales,Incertae sedis,Heleiosa,barbatula,JK 5548I,GU479753,GU479787,,,,,Heleiosa_barbatula
Dothideomycetes,Pleosporales,Leptosphaeriaceae,Coniothyrium,palmarum,CBS 400.71 (AFTOL-ID 1379),DQ678008,,,DQ677956,FJ190638,DQ677903,Coniothyrium_palmarum
Dothideomycetes,Strigulales,Strigulaceae,Strigula,nemathora MPN72,,JN887389 ,JN887405 ,,YYY??4dec2010,GU327701,JN887433 ,Strigula_nemathora
Dothideomycetes,Strigulales,Strigulaceae,Phyllobathelium,anomalum MPN242,,JN887386 ,GU327722,,YYY??4dec2010,GU327698,JN887430 ,Phyllobathelium_anomalum
Dothideomycetes,Strigulales,Strigulaceae,Strigula,jamesii MPN548,,JN887388 ,JN887404 ,,,JN887416 ,JN887432 ,Strigula_jamesii
Dothideomycetes,Trypetheliales,Trypetheliaceae,Astrothelium,versicolor MPN47,,JN887380 ,GU327713,,YYY??4dec2010,GU327689,GU327731,Astrothelium_versicolor
Dothideomycetes,Trypetheliales,Trypetheliaceae,Pseudopyrenula,subgregaria MPN106,,,GU327724,,YYY??4dec2010,GU327699,JN887431 ,Pseudopyrenula_subgregaria
